"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"418","20103101710",5,3,0,8,7,4,6,6,7,5
"419","20103101711",7,0,4,7,3,4,3,8,5,9
"420","20103101712",7,3,3,4,4,5,7,4,4,6
"421","20103101713",6,0,4,0,5,0,4,3,0,5
"422","20103101714",6,0,4,5,3,10,5,5,0,3
"423","20103101715",0,0,0,0,4,3,9,0,0,0
"424","20201101801",20,0,13,3,8,4,6,6,7,3
"425","20201101802",10,3,0,0,0,0,0,0,0,0
"426","20201101803",17,0,12,5,4,8,0,4,4,3
"427","20201101804",3,0,0,0,0,0,4,5,5,3
"428","20201101806",0,0,3,11,3,0,9,0,7,0
"429","20201101807",13,3,4,4,7,9,4,3,9,5
"430","20201101808",4,0,0,4,5,5,0,3,6,4
"431","20201101809",3,0,0,0,5,0,7,0,6,4
"432","20201101810",8,3,4,0,9,0,0,0,4,0
"433","20201101811",15,0,3,3,3,5,8,3,8,0
"434","20201101812",6,5,13,5,0,10,5,3,4,6
"435","20201101813",12,11,3,0,9,0,3,3,5,0
"436","20201101814",10,8,8,0,4,4,3,0,0,4
"437","20201101815",10,4,3,0,8,3,8,3,10,6
"438","20201101816",26,18,5,0,5,5,4,0,3,5
"439","20201101817",8,0,3,4,3,5,4,0,0,3
"440","20201101818",0,8,0,4,17,11,3,5,7,9
"441","20201101819",0,0,0,0,0,5,6,4,4,4
"442","20201101820",0,0,4,0,0,5,3,0,0,0
"443","20201101821",13,6,6,3,3,0,4,0,3,0
"444","20201101822",10,6,0,7,6,0,0,3,3,3
"445","20201101823",11,0,0,4,5,0,3,5,6,4
"446","20201101824",12,0,0,7,4,5,9,7,4,6
"447","20201101825",0,0,12,0,7,6,5,0,0,0
"448","20201101826",0,0,0,0,0,0,5,0,4,6
"449","20201101827",13,9,0,3,5,7,0,3,0,6
"450","20201101828",0,4,0,5,5,4,6,5,7,7
"451","20201101829",3,3,0,0,3,0,6,0,0,5
"452","20201101830",19,0,13,10,8,8,10,5,7,16
"453","20201101831",20,3,3,6,7,5,3,3,4,3
"454","20201101832",8,0,3,0,4,7,0,9,7,3
"455","20201101833",12,9,6,10,12,5,8,3,3,8
"456","20201101834",8,5,3,8,6,5,3,0,3,0
"457","20201101835",24,9,0,4,3,5,9,4,0,6
"458","20201101836",9,0,0,3,0,3,4,5,3,8
"459","20201101837",3,11,9,0,8,3,10,4,3,9
"460","20201101838",0,3,4,4,5,0,0,0,3,0
"461","20201101839",17,10,3,6,0,7,3,5,4,4
"462","20201101903",12,0,3,0,7,7,0,0,0,3
"463","20201101904",13,11,0,3,8,7,16,14,13,5
"464","20201101905",13,6,4,3,6,6,10,3,6,13
"465","20201101906",0,0,0,0,0,0,4,0,0,6
"466","20201101908",3,4,4,4,6,4,10,3,5,3
"467","20201101909",0,6,15,0,5,14,8,13,8,4
"468","20201101910",8,4,9,0,10,5,10,5,4,3
"469","20201101911",3,0,0,0,0,3,6,3,0,4
"470","20201101913",10,0,3,0,0,7,6,3,3,9
"471","20201101914",0,0,0,0,0,6,6,0,4,3
"472","20201101915",9,0,0,4,3,3,0,4,0,4
"473","20201101916",6,0,0,4,6,3,4,3,0,3
"474","20201101917",3,0,0,0,4,7,0,0,0,3
"475","20201101918",8,4,4,3,8,9,3,6,5,5
"476","20201101919",21,0,7,4,3,5,5,10,6,5
"477","20201101921",23,11,7,5,16,12,13,13,16,12
"478","20201101922",8,17,7,5,8,7,4,7,0,7
"479","20201101923",0,0,0,0,3,4,3,0,6,7
"480","20201101924",7,4,12,4,7,8,3,9,3,9
"481","20201101925",13,3,5,9,5,15,5,0,6,7
"482","20201101926",8,0,3,9,9,9,6,5,7,3
"483","20201101927",15,12,9,0,9,14,10,5,7,12
"484","20201101928",16,12,0,8,6,10,7,3,6,16
"485","20201101929",9,7,0,3,5,3,8,3,4,0
"486","20201101930",27,4,8,9,20,3,21,10,15,20
"487","20201101931",11,8,3,0,7,4,4,9,3,9
"488","20201101932",15,3,16,6,12,10,4,12,3,10
"489","20201101933",16,0,0,0,5,3,4,4,3,3
"490","20201102001",7,0,0,0,5,5,4,7,7,0
"491","20201102002",4,0,3,5,0,0,5,0,0,3
