2021 Statistical Area Level 1 (SA1),Usual Resident Population,Score,Percentile within Australia
10201103805,305,1007.474707,51
10201103806,262,952.2888817,31
10201103807,442,1015.943968,54
10201103808,272,987.0531903,43
10201103809,580,1035.906932,62
10201103810,332,1031.773146,61
10201103811,479,1047.732739,67
10201103812,356,1058.001933,71
10201103813,556,1035.799004,62
10201103814,519,1028.708329,60
10201103815,325,1106.546123,86
10201103816,423,1042.156021,65
10201103817,358,1005.301238,50
10201103901,721,1124.594165,90
10201103902,404,1118.057825,89
10201103903,312,1048.230995,67
10201103904,587,1075.423022,77
10201103905,425,1114.299405,88
10201103906,506,1031.938974,61
10201103908,424,1115.676313,88
10201103909,701,1062.781492,72
10201103911,630,1119.556476,89
10201103912,652,1082.825546,79
10201103913,659,1089.557533,81
10201103914,336,1086.065903,80
10201103915,509,1090.794114,82
10201103916,532,1044.046058,65
10201103917,386,1090.722718,81
10201103918,556,1089.026147,81
10201103919,407,979.7083172,40
10201103921,626,1083.964182,79
10201103922,528,1087.016753,80
10201103923,368,1119.754237,89
10201103924,222,858.9759336,9
10201103925,468,1091.632198,82
10201103926,668,1144.435759,94
10201103927,501,1081.376426,79
10201103928,590,1071.501428,75
10201103929,393,1072.970567,76
10201103931,418,1074.347837,76
10201103932,405,1060.353444,71
10201103933,383,1194.019157,100
10201103934,172,1118.887781,89
10201103935,149,1103.524675,85
10201103936,229,1107.279561,86
10201104001,375,949.8225765,30
10201104002,315,942.6670381,28
10201104003,307,1080.261422,78
10201104004,446,1007.943492,51
10201104005,327,1017.077709,55
10201104006,595,1016.68011,55
10201104007,324,978.8373195,40
10201104009,514,914.49463,20
10201104010,398,935.3917883,25
10201104011,395,988.6250924,44
10201104012,324,1006.722139,51
10201104013,579,956.0065589,32
10201104014,547,882.0447555,13
